Id,Port Number,Service Name,Transport Protocol,Description
28089,22050,,,Unassigned
28090,22051,,,Unassigned
28091,22052,,,Unassigned
28092,22053,,,Unassigned
28093,22054,,,Unassigned
28094,22055,,,Unassigned
28095,22056,,,Unassigned
28096,22057,,,Unassigned
28097,22058,,,Unassigned
28098,22059,,,Unassigned
28099,22060,,,Unassigned
28100,22061,,,Unassigned
28101,22062,,,Unassigned
28102,22063,,,Unassigned
28103,22064,,,Unassigned
28104,22065,,,Unassigned
28105,22066,,,Unassigned
28106,22067,,,Unassigned
28107,22068,,,Unassigned
28108,22069,,,Unassigned
28109,22070,,,Unassigned
28110,22071,,,Unassigned
28111,22072,,,Unassigned
28112,22073,,,Unassigned
28113,22074,,,Unassigned
28114,22075,,,Unassigned
28115,22076,,,Unassigned
28116,22077,,,Unassigned
28117,22078,,,Unassigned
28118,22079,,,Unassigned
28119,22080,,,Unassigned
28120,22081,,,Unassigned
28121,22082,,,Unassigned
28122,22083,,,Unassigned
28123,22084,,,Unassigned
28124,22085,,,Unassigned
28125,22086,,,Unassigned
28126,22087,,,Unassigned
28127,22088,,,Unassigned
28128,22089,,,Unassigned
28129,22090,,,Unassigned
28130,22091,,,Unassigned
28131,22092,,,Unassigned
28132,22093,,,Unassigned
28133,22094,,,Unassigned
28134,22095,,,Unassigned
28135,22096,,,Unassigned
28136,22097,,,Unassigned
28137,22098,,,Unassigned
28138,22099,,,Unassigned
28139,22100,,,Unassigned
28140,22101,,,Unassigned
28141,22102,,,Unassigned
28142,22103,,,Unassigned
28143,22104,,,Unassigned
28144,22105,,,Unassigned
28145,22106,,,Unassigned
28146,22107,,,Unassigned
28147,22108,,,Unassigned
28148,22109,,,Unassigned
28149,22110,,,Unassigned
28150,22111,,,Unassigned
28151,22112,,,Unassigned
28152,22113,,,Unassigned
28153,22114,,,Unassigned
28154,22115,,,Unassigned
28155,22116,,,Unassigned
28156,22117,,,Unassigned
28157,22118,,,Unassigned
28158,22119,,,Unassigned
28159,22120,,,Unassigned
28160,22121,,,Unassigned
28161,22122,,,Unassigned
28162,22123,,,Unassigned
28163,22124,,,Unassigned
28164,22125,dcap,tcp,dCache Access Protocol
28165,22125,,udp,Reserved
28166,22126,,,Unassigned
28167,22127,,,Unassigned
28168,22128,gsidcap,tcp,GSI dCache Access Protocol
28169,22128,,udp,Reserved
28170,22129,,,Unassigned
28171,22130,,,Unassigned
28172,22131,,,Unassigned
28173,22132,,,Unassigned
28174,22133,,,Unassigned
28175,22134,,,Unassigned
28176,22135,,,Unassigned
28177,22136,,,Unassigned
28178,22137,,,Unassigned
28179,22138,,,Unassigned
28180,22139,,,Unassigned
28181,22140,,,Unassigned
28182,22141,,,Unassigned
28183,22142,,,Unassigned
28184,22143,,,Unassigned
28185,22144,,,Unassigned
28186,22145,,,Unassigned
28187,22146,,,Unassigned
28188,22147,,,Unassigned
28189,22148,,,Unassigned
28190,22149,,,Unassigned
28191,22150,,,Unassigned
28192,22151,,,Unassigned
28193,22152,,,Unassigned
28194,22153,,,Unassigned
28195,22154,,,Unassigned
28196,22155,,,Unassigned
28197,22156,,,Unassigned
28198,22157,,,Unassigned
28199,22158,,,Unassigned
28200,22159,,,Unassigned
28201,22160,,,Unassigned
28202,22161,,,Unassigned
28203,22162,,,Unassigned
28204,22163,,,Unassigned
28205,22164,,,Unassigned
28206,22165,,,Unassigned
28207,22166,,,Unassigned
28208,22167,,,Unassigned
28209,22168,,,Unassigned
28210,22169,,,Unassigned
28211,22170,,,Unassigned
28212,22171,,,Unassigned
28213,22172,,,Unassigned
28214,22173,,,Unassigned
28215,22174,,,Unassigned
28216,22175,,,Unassigned
28217,22176,,,Unassigned
28218,22177,,,Unassigned
28219,22178,,,Unassigned
28220,22179,,,Unassigned
28221,22180,,,Unassigned
28222,22181,,,Unassigned
28223,22182,,,Unassigned
28224,22183,,,Unassigned
28225,22184,,,Unassigned
28226,22185,,,Unassigned
28227,22186,,,Unassigned
28228,22187,,,Unassigned
28229,22188,,,Unassigned
28230,22189,,,Unassigned
28231,22190,,,Unassigned
28232,22191,,,Unassigned
28233,22192,,,Unassigned
28234,22193,,,Unassigned
28235,22194,,,Unassigned
28236,22195,,,Unassigned
28237,22196,,,Unassigned
28238,22197,,,Unassigned
28239,22198,,,Unassigned
28240,22199,,,Unassigned
28241,22200,,,Unassigned
28242,22201,,,Unassigned
28243,22202,,,Unassigned
28244,22203,,,Unassigned
28245,22204,,,Unassigned
28246,22205,,,Unassigned
28247,22206,,,Unassigned
28248,22207,,,Unassigned
28249,22208,,,Unassigned
28250,22209,,,Unassigned
28251,22210,,,Unassigned
28252,22211,,,Unassigned
28253,22212,,,Unassigned
28254,22213,,,Unassigned
28255,22214,,,Unassigned
28256,22215,,,Unassigned
28257,22216,,,Unassigned
28258,22217,,,Unassigned
28259,22218,,,Unassigned
28260,22219,,,Unassigned
28261,22220,,,Unassigned
28262,22221,,,Unassigned
28263,22222,easyengine,tcp,EasyEngine is CLI tool to manage WordPress Sites on Nginx server
28264,22222,,udp,Reserved
28265,22223,,,Unassigned
28266,22224,,,Unassigned
28267,22225,,,Unassigned
28268,22226,,,Unassigned
28269,22227,,,Unassigned
28270,22228,,,Unassigned
28271,22229,,,Unassigned
28272,22230,,,Unassigned
28273,22231,,,Unassigned
28274,22232,,,Unassigned
28275,22233,,,Unassigned
28276,22234,,,Unassigned
28277,22235,,,Unassigned
28278,22236,,,Unassigned
28279,22237,,,Unassigned
28280,22238,,,Unassigned
28281,22239,,,Unassigned
28282,22240,,,Unassigned
28283,22241,,,Unassigned
28284,22242,,,Unassigned
28285,22243,,,Unassigned
28286,22244,,,Unassigned
28287,22245,,,Unassigned
28288,22246,,,Unassigned
28289,22247,,,Unassigned
28290,22248,,,Unassigned
28291,22249,,,Unassigned
28292,22250,,,Unassigned
28293,22251,,,Unassigned
28294,22252,,,Unassigned
28295,22253,,,Unassigned
28296,22254,,,Unassigned
28297,22255,,,Unassigned
28298,22256,,,Unassigned
28299,22257,,,Unassigned
28300,22258,,,Unassigned
28301,22259,,,Unassigned
28302,22260,,,Unassigned
28303,22261,,,Unassigned
28304,22262,,,Unassigned
28305,22263,,,Unassigned
28306,22264,,,Unassigned
28307,22265,,,Unassigned
28308,22266,,,Unassigned
28309,22267,,,Unassigned
28310,22268,,,Unassigned
28311,22269,,,Unassigned
28312,22270,,,Unassigned
28313,22271,,,Unassigned
28314,22272,,,Unassigned
28315,22273,wnn6,tcp,wnn6
28316,22273,wnn6,udp,wnn6
28317,22274,,,Unassigned
28318,22275,,,Unassigned
28319,22276,,,Unassigned
28320,22277,,,Unassigned
28321,22278,,,Unassigned
28322,22279,,,Unassigned
28323,22280,,,Unassigned
28324,22281,,,Unassigned
28325,22282,,,Unassigned
28326,22283,,,Unassigned
28327,22284,,,Unassigned
